dataset,method,K,classifier,pls_comp,OA,macroF1
salinas,CCARS_20,20,PLS-DA,4,0.4424055232558139,0.1895952583942392
indian_pines,CCARS_50,50,PLS-DA,2,0.4389366380171897,0.1557745731938216
indian_pines,Original CARS,5,SVM-RBF,3,0.4379372376574055,0.3125314777575614
salinas,CCARS_20,20,PLS-DA,3,0.4301235465116279,0.1629456162948744
salinas,CCARS_50,50,PLS-DA,4,0.4276162790697674,0.1510669817561022
salinas,CCARS_30,30,PLS-DA,4,0.4228924418604651,0.1523174667397188
indian_pines,CCARS_10,10,PLS-DA,2,0.4225464721167299,0.1436479724484709
indian_pines,ALL_BANDS,200,PLS-DA,2,0.4119528283030182,0.1203389824636074
salinas,CCARS_10,10,PLS-DA,3,0.4058866279069767,0.1514365247659712
salinas,ALL_BANDS,204,PLS-DA,3,0.3924781976744186,0.1033941280501585
salinas,ALL_BANDS,204,PLS-DA,2,0.3923328488372093,0.1029840904930997
salinas,CCARS_50,50,PLS-DA,3,0.3910973837209302,0.1071980983448449
salinas,CCARS_50,50,PLS-DA,2,0.3886991279069767,0.113600006
salinas,CCARS_30,30,PLS-DA,3,0.3841206395348837,0.1122031133421464
salinas,CCARS_10,10,PLS-DA,2,0.3405886627906976,0.088664348
salinas,CCARS_20,20,PLS-DA,2,0.3227470930232558,0.064256888
salinas,CCARS_30,30,PLS-DA,2,0.3226017441860465,0.064214355
