dataset,method,classifier,n_wavelengths,accuracy,f1_macro,f1_weighted,kappa,train_time,p_value,pls_component
indian_pines,CCARS_10,Random Forest,10,0.5744553268039176,0.4530659637422114,0.5476479834122872,0.5003916841291823,2.6666178703308105,1.0,2
indian_pines,Original CARS,SVM-RBF,10,0.5580651609034579,0.4993478089865923,0.4993478089865923,0.4914906676569336,,,2
indian_pines,Original CARS,RF,5,0.5528682790325804,0.4530917014784049,0.4530917014784049,0.476611697160793,,,2
indian_pines,Original CARS,SVM-RBF,10,0.546472116729962,0.465299150548182,0.465299150548182,0.4847554791390278,,,3
salinas,ALL_BANDS,PLS-DA,204,0.5297238372093023,0.2494811524298852,0.3937727792015141,0.4548012725299517,0.3289639949798584,,4
indian_pines,CCARS_10,SVM-RBF,10,0.5162902258644813,0.4756740757208478,0.5139244112140328,0.4648167325099901,0.3456926345825195,0.048780487804878,2
indian_pines,ALL_BANDS,PLS-DA,200,0.5046971816909854,0.2557010775939315,0.3849494318304011,0.3950055963805258,0.0534732341766357,,4
indian_pines,CCARS_20,PLS-DA,20,0.4847091744953028,0.2083420648311409,0.3504823539651276,0.3702709721594756,0.0071451663970947,1.0,4
indian_pines,CCARS_10,PLS-DA,10,0.4659204477313612,0.1865865826022162,0.3249973513821906,0.3463906092753848,0.0054903030395507,1.0,4
indian_pines,CCARS_50,PLS-DA,50,0.4647211672996202,0.1824315707978557,0.31528983142618,0.3418861393212405,0.0121631622314453,1.0,4
indian_pines,CCARS_30,PLS-DA,30,0.4635218868678792,0.1764962788629273,0.3099053172959273,0.3386788116575088,0.0075612068176269,1.0,3
indian_pines,CCARS_30,PLS-DA,30,0.4633220067959224,0.1789424212252983,0.3134264089223495,0.3401006837271695,0.0101799964904785,1.0,4
indian_pines,CCARS_50,PLS-DA,50,0.4631221267239656,0.1760074811331104,0.3094576412267521,0.3383783041800249,0.0093545913696289,1.0,3
indian_pines,CCARS_20,PLS-DA,20,0.4611233260043973,0.1739454150906356,0.307364188783244,0.3363851806252502,0.0061757564544677,1.0,3
indian_pines,ALL_BANDS,PLS-DA,200,0.4571257245652608,0.1693706472514088,0.3044647360556062,0.3308560964781933,0.0431959629058837,,3
indian_pines,Original CARS,SVM-RBF,5,0.448930641615031,0.4102549269040847,0.4102549269040847,0.3819105583492439,,,2
salinas,CCARS_10,PLS-DA,10,0.4486191860465116,0.198868252348796,0.3147451402795061,0.3533677185198922,0.0559334754943847,1.0,4
indian_pines,CCARS_10,PLS-DA,10,0.4479312412552468,0.1655451781501111,0.2959078411755957,0.3239795129622216,0.0040724277496337,1.0,3
indian_pines,CCARS_30,PLS-DA,30,0.4439336398161103,0.1616905455443526,0.2924635923277116,0.3124722572805343,0.0069706439971923,1.0,2
indian_pines,CCARS_20,PLS-DA,20,0.4435338796721967,0.1611792462736034,0.2923323556402307,0.3123662337303288,0.0057222843170166,1.0,2
salinas,CCARS_20,PLS-DA,20,0.4424055232558139,0.1895952583942392,0.3033513337575592,0.3452699496399557,0.0973885059356689,1.0,4
indian_pines,CCARS_50,PLS-DA,50,0.4389366380171897,0.1557745731938216,0.2867911231701751,0.3060894691326048,0.0078754425048828,1.0,2
indian_pines,Original CARS,SVM-RBF,5,0.4379372376574055,0.3125314777575614,0.3125314777575614,0.3586294534961043,,,3
salinas,CCARS_20,PLS-DA,20,0.4301235465116279,0.1629456162948744,0.2855355886454878,0.3255058750164331,0.0573723316192626,1.0,3
salinas,CCARS_50,PLS-DA,50,0.4276162790697674,0.1510669817561022,0.263103527201109,0.3301741657488389,0.1364123821258545,1.0,4
salinas,CCARS_30,PLS-DA,30,0.4228924418604651,0.1523174667397188,0.2625957704381613,0.3227618586034407,0.0913400650024414,1.0,4
indian_pines,CCARS_10,PLS-DA,10,0.4225464721167299,0.1436479724484709,0.2706956788780891,0.2887392137232895,0.0044987201690673,1.0,2
indian_pines,ALL_BANDS,PLS-DA,200,0.4119528283030182,0.1203389824636074,0.2471571215767982,0.2714767423662045,0.0298168659210205,,2
salinas,CCARS_10,PLS-DA,10,0.4058866279069767,0.1514365247659712,0.2682467174706143,0.2940520007347349,0.056058645248413,1.0,3
salinas,ALL_BANDS,PLS-DA,204,0.3924781976744186,0.1033941280501585,0.2225556875686299,0.2839739752133082,0.2650892734527588,,3
salinas,ALL_BANDS,PLS-DA,204,0.3923328488372093,0.1029840904930997,0.2231853817588008,0.2851321405665722,0.2279551029205322,,2
salinas,CCARS_50,PLS-DA,50,0.3910973837209302,0.1071980983448449,0.2218754165954494,0.2775524578040099,0.1274056434631347,1.0,3
salinas,CCARS_50,PLS-DA,50,0.3886991279069767,0.113600006033968,0.224862929354548,0.2701897071216809,0.0637354850769043,1.0,2
salinas,CCARS_30,PLS-DA,30,0.3841206395348837,0.1122031133421464,0.2255551191654503,0.2671209603027819,0.0905702114105224,1.0,3
salinas,CCARS_10,PLS-DA,10,0.3405886627906976,0.0886643482428881,0.1925187338225701,0.2072385211261426,0.0381970405578613,1.0,2
salinas,CCARS_20,PLS-DA,20,0.3227470930232558,0.0642568879663123,0.1628604755079765,0.1804055910043563,0.0382568836212158,1.0,2
salinas,CCARS_30,PLS-DA,30,0.3226017441860465,0.0642143550945857,0.1625459305607385,0.1792019696394229,0.0472884178161621,1.0,2
